trial,round,label,tx_count,throughput_tps,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,block_commit_time_ms,counterfeit_detected,counterfeit_total,detection_accuracy_pct,cpu_usage_pct,memory_usage_mb,network_io_mbps,block_size,batch_timeout_s,payload_size_bytes,timestamp
9,2,custody-transfer,25000,2814,1.29,1.26,1.87,2.11,489,3736,3750,99.63,44.3,1929,39.9,100,1,512,2024-01-25T08:45:00Z
9,3,counterfeit-alert,5000,2843,1.27,1.24,1.85,2.09,482,748,750,99.73,43.7,1903,38.9,100,1,512,2024-01-25T09:15:00Z
9,4,peak-throughput,50000,2803,1.3,1.27,1.89,2.15,492,7476,7500,99.68,45.4,1982,41.5,100,1,512,2024-01-25T09:30:00Z
9,5,latency-measurement,5000,100,1.28,1.25,1.86,2.1,489,0,0,,38.7,1813,31.4,100,1,512,2024-01-25T11:00:00Z
9,6,scalability-block10,10000,1829,1.86,1.81,2.53,2.9,609,0,0,,39.3,1837,29.8,10,1,512,2024-01-25T11:30:00Z
9,7,scalability-block50,10000,2352,1.53,1.5,2.17,2.46,532,0,0,,41.6,1879,34.9,50,1,512,2024-01-25T12:00:00Z
9,8,scalability-block100,10000,2803,1.3,1.27,1.89,2.15,492,0,0,,45,1959,39.4,100,1,512,2024-01-25T12:30:00Z
9,9,scalability-block200,10000,2663,1.4,1.37,2.02,2.28,508,0,0,,46.5,2015,40.3,200,1,512,2024-01-25T13:00:00Z
9,10,scalability-block500,10000,2194,1.72,1.68,2.4,2.72,575,0,0,,48.9,2139,37.6,500,1,512,2024-01-25T13:30:00Z
10,1,drug-registration,10000,2774,1.3,1.27,1.88,2.13,485,0,0,,42.2,1847,38.2,100,1,512,2024-01-26T08:00:00Z
10,2,custody-transfer,25000,2826,1.28,1.25,1.86,2.1,488,3739,3750,99.71,44.4,1932,40,100,1,512,2024-01-26T08:45:00Z
10,3,counterfeit-alert,5000,2853,1.26,1.23,1.84,2.08,481,749,750,99.87,43.8,1905,39,100,1,512,2024-01-26T09:15:00Z
10,4,peak-throughput,50000,2835,1.28,1.25,1.87,2.13,490,7488,7500,99.84,45.7,1985,41.8,100,1,512,2024-01-26T09:30:00Z
10,5,latency-measurement,5000,100,1.27,1.24,1.85,2.09,487,0,0,,38.8,1816,31.5,100,1,512,2024-01-26T11:00:00Z
10,6,scalability-block10,10000,1843,1.84,1.79,2.51,2.88,605,0,0,,39.5,1841,30.1,10,1,512,2024-01-26T11:30:00Z
10,7,scalability-block50,10000,2366,1.52,1.49,2.15,2.44,530,0,0,,41.9,1884,35.2,50,1,512,2024-01-26T12:00:00Z
10,8,scalability-block100,10000,2835,1.28,1.25,1.87,2.13,490,0,0,,45.3,1963,39.6,100,1,512,2024-01-26T12:30:00Z
10,9,scalability-block200,10000,2679,1.39,1.36,2.01,2.27,507,0,0,,46.8,2020,40.5,200,1,512,2024-01-26T13:00:00Z
10,10,scalability-block500,10000,2209,1.71,1.67,2.38,2.7,572,0,0,,49.3,2144,37.9,500,1,512,2024-01-26T13:30:00Z
